Handle,Command,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status,Metafield: custom.promotion [list.single_line_text_field],Metafield: custom.blade_category [single_line_text_field],Metafield: custom.blade_layers [single_line_text_field],Metafield: custom.blade_feeling [single_line_text_field],Metafield: custom.rubber_category [single_line_text_field],Metafield: custom.pimples [single_line_text_field],Metafield: custom.hardness [single_line_text_field],Metafield: custom.technology [list.single_line_text_field],Metafield: custom.gender [list.single_line_text_field],Metafield: custom.shoe_type [list.single_line_text_field],Metafield: custom.bag_model [single_line_text_field],Metafield: custom.ball_usage [single_line_text_field],Metafield: custom.ball_material [single_line_text_field],Metafield: custom.usage [single_line_text_field],Metafield: custom.accessory_type [single_line_text_field],Metafield: custom.environment [list.single_line_text_field],Metafield: custom.cover_included [boolean],Metafield: custom.dimension [single_line_text_field],Metafield: custom.video_url [url],Metafield: custom.available_options [list.single_line_text_field]
butterfly-table-europa-25,MERGE,Butterfly Tafle Europa II,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">25+ OPPERVLAK – VOLLEDIG GEMONTEERD – EENVOUDIG TE TRANSPORTEREN<br>
<br>
De EUROPA 25 mm tafel is in de afgelopen 20 jaar gebruikt voor vele internationale toernooien over de hele wereld met inbegrip van de Europese Kampioenschappen. De EUROPA 25 is stevig en robuust. Het is de meest geschikte tafel voor clubs waar de tafels in een permanente positie staan of waar de beschikbare opslagruimte zeer beperkt is. Bovendien is het ook de beste tafel voor competities waarbij spullen van de ene locatie naar de andere dienen te worden verplaatst. Het belangrijkste voordeel van de EUROPA is de 25+ bovenkant. Dit ingrediënt dat toegevoegd is aan het oppervlak verhoogt de consistentie en betrouwbaarheid van de stuitering van de bal voor zowel topspin en backspin slagen, wat voor uitstekende speelbaarheid zorgt. Het vermindert slip en geeft de spelers alle vertrouwen om hun slagen te doen. De bovenkant wordt beschermd door een sterke stalen frame met hoekstukken van magenta. Deze tafel neemt indien hij ingeklapt wordt, de minimale opslagruimte in beslag –slechts 6 of 15 cm breed. Iedere helft heeft twee wielen in het midden, zodat de tafel weggerold kan worden. De Butterfly EUROPA 25 wordt volledig gemonteerd geleverd, is goedgekeurd door de Internationale Tafeltennis Federatie, heeft een Europees Veiligheidscertificaat(EN 14468-1) en heeft een garantie van 5 jaar.<br>
<br>
Opslag: Breedte: 1525 mm, Hoogte 1390 mm, Diepte 150 mm<br>
Gewicht niet geseald: 99 kg<br>
<br>
Tafel word gemonteerd geleverd (zonder netpost)<br>
Inclusief vrachtkosten</div>",BUTTERFLY,,Tables and Nets,"Tables,Tables & Nets,tables,butterfly",FALSE,Color,Grijs,,,,,BTY10020,118000,shopify,-3,continue,manual,995.000000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/t/a/table_europa_ii_02_kopie.jpg,1,,,FALSE,Butterfly Tafle Europa II,,draft,,,,,,,,,,,,,,Pro,,Indoor,false,1525mmx1392mm,,
butterfly-table-europa-25,,,,,,,,,Color,Blauw,,,,,19106,118000,shopify,0,continue,manual,995.000000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/t/a/table_europa_ii_04_kopie.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-table-europa-25,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dandoy-sports.com/pub/media/catalog/product/t/a/table_europa_ii_blue_02.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-super-mini-bat,MERGE,Butterfly Super Mini Bat,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Butterfly Super Mini Bat <br>
3.55cm x 5.5cm</div>",BUTTERFLY,,Accessories,"Accessories,butterfly",TRUE,Title,Default Title,,,,,3861,,shopify,0,continue,manual,1.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/s/u/super_mini_bat.jpg,1,,,FALSE,Butterfly Super Mini Bat,,active,,,,,,,,,,,,,,,Keychains,,,,,
butterfly-energy-force-xii,MERGE,Butterfly Energy Force XII Blauw,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">In samenwerking met ASICS en Butterfly is deze top tafeltennis schoen tot stand gekomen. De combinatie van hoge stabiliteit, goede pasvorm een super zool en een perfecte demping, de ENERGYFORCE 12 biedt alle voordelen van de Energyforce ontwikkeling. <br>
Kleur:  blauw <br>
Prijs: 139,90 €</div>",BUTTERFLY,,Shoes,"Shoes,dandoy,butterfly",FALSE,Size,36,,,,,26357,,shopify,0,deny,manual,69.900000,139.900000,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/e/n/energy_force_xii_2.jpg,1,,,FALSE,Butterfly Energy Force XII Blauw,,draft,Liquidation,,,,,,,,,Interior,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,40,,,,,26358,,shopify,0,deny,manual,69.900000,139.900000,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/s/i/size_chart_shoes_2016_nl_17.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,37,,,,,BTY55203,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,46,,,,,26359,,shopify,0,deny,manual,69.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,37.5,,,,,BTY55204,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,38,,,,,BTY55205,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,39,,,,,BTY55206,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,39.5,,,,,BTY55207,,shopify,0,deny,manual,139.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,41,,,,,BTY55209,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,42,,,,,BTY55210,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,42.5,,,,,BTY55211,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,43,,,,,BTY55212,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,44,,,,,BTY55213,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,45,,,,,BTY55214,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,46,,,,,BTY55215,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-energy-force-xii,,,,,,,,,Size,47,,,,,BTY55217,,shopify,0,deny,manual,99.900000,139.900000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-training-balls-6b-wit,MERGE,Butterfly Training Balls 6B Wit ,"<style>#html-body [data-pb-style=KJH4EYB]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""KJH4EYB""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>Training Balls. Pack of 6</p></div></div></div>",,,Balls,"Balls,butterfly",TRUE,Quantity,6,Color,White,,,90617,,shopify,13,continue,manual,4.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/b/a/balls_traning_balls__6_box.jpg,1,,,FALSE,Butterfly Training Balls 6B Wit,Butterfly Training Balls 6B Wit  #html-body [data-pb-style=WCUNO89]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}Training Balls. P,active,,,,,,,,,,,,Training,Plastic,,,,,,,
butterfly-suitcase-torori-black,MERGE,Butterfly Suitcase Torori Black ,"<style>#html-body [data-pb-style=G6F4EFP]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""G6F4EFP""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>This suitcase is your best companion when it comes to travel, be it business, sports, or leisure. Its stylish hard shell exterior protects your equipment, stored in 2 main inner compartments. Agile and simple through 4 steerable wheels, and with a TSA compatible lock this suitcase is hand luggage-ready.</p><br>
<p><br>black<br>&nbsp;<br>55 x 37 x 23 /46 l / wheels 5 cm / handle extends to 50cm</p></div></div></div>",,,Bags,"Bags,Luggages,bags,butterfly",TRUE,Color,Black,,,,,92075,,shopify,2,continue,manual,149.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/s/u/suitcase_torori_02_1.jpg,1,,,FALSE,Butterfly Suitcase Torori Black,Butterfly Suitcase Torori Black  #html-body [data-pb-style=H3KY3C6]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}This suitcase is,active,,,,,,,,,,,Trolleybag,,,,,,,,,
butterfly-suitcase-torori-black,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dandoy-sports.com/pub/media/catalog/product/s/u/suitcase_torori_01_1.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-suitcase-torori-black,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dandoy-sports.com/pub/media/catalog/product/s/u/suitcase_torori_04_1.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-suitcase-torori-black,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dandoy-sports.com/pub/media/catalog/product/s/u/suitcase_torori_05_1.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,
