Command,Redirect From,Redirect To
DELETE,/andro-hexer-hd.html,/products/andro-hexer-hd
DELETE,/andro-hexer-hd-2626.html,/products/andro-hexer-hd
DELETE,/andro-hexer-pips-force.html,/products/andro-hexer-pips-force
DELETE,/andro-hexer-pips.html,/products/andro-hexer-pips
DELETE,/andro-hexer-pips-2612.html,/products/andro-hexer-pips
DELETE,/andro-hexer-powersponge.html,/products/andro-hexer-powersponge
DELETE,/andro-impuls-powersponge.html,/products/andro-impuls-powersponge
DELETE,/andro-impuls-speed.html,/products/andro-impuls-speed
DELETE,/xiom-vega-japan.html,/products/xiom-vega-japan
DELETE,/xiom-vega-pro.html,/products/xiom-vega-pro
DELETE,/xiom-vega-asia.html,/products/xiom-vega-asia
DELETE,/xiom-vega-europe.html,/products/xiom-vega-europe
DELETE,/xiom-vega-elite.html,/products/xiom-vega-elite
DELETE,/andro-plaxon-350.html,/products/andro-plaxon-350
DELETE,/andro-plaxon-450.html,/products/andro-plaxon-450
DELETE,/xiom-musa.html,/products/xiom-musa
DELETE,/xiom-omega-v-tour.html,/products/xiom-omega-v-tour
DELETE,/stiga-shirt-discovery-yellow-navy.html,/products/stiga-shirt-discovery-yellow-navy
DELETE,/stiga-skirt-mercury-black-divablue.html,/products/stiga-skirt-mercury-black-divablue
DELETE,/stiga-shorts-triumph-black.html,/products/stiga-shorts-triumph-black
DELETE,/stiga-shorts-triumph-navy.html,/products/stiga-shorts-triumph-navy
DELETE,/xiom-omega-v-euro.html,/products/xiom-omega-v-euro
DELETE,/xiom-omega-iv-pro.html,/products/xiom-omega-iv-pro
DELETE,/xiom-omega-iv-asia.html,/products/xiom-omega-iv-asia
DELETE,/xiom-omega-iv-euro.html,/products/xiom-omega-iv-euro
DELETE,/donic-blue-contact-glue.html,/products/donic-blue-contact-glue
DELETE,/donic-vario-clean.html,/products/donic-vario-clean
DELETE,/donic-bio-clean-rubber-cleaner.html,/products/donic-bio-clean-rubber-cleaner
DELETE,/donic-edge-tape.html,/products/donic-edge-tape
DELETE,/andro-edge-tape-black-yellow.html,/products/andro-edge-tape-black-yellow
DELETE,/donic-table-world-champion-tc.html,/products/donic-table-world-champion-tc
DELETE,/donic-table-delhi-25.html,/products/donic-table-delhi-25
DELETE,/donic-table-delhi-slc.html,/products/donic-table-delhi-slc
DELETE,/donic-table-waldner-classic-25.html,/products/donic-table-waldner-classic-25
DELETE,/donic-table-compact-25.html,/products/donic-table-compact-25
DELETE,/donic-table-waldner-sc.html,/products/donic-table-waldner-sc
DELETE,/donic-table-waldner-high-school.html,/products/donic-table-waldner-high-school
DELETE,/donic-net-stress.html,/products/donic-net-stress
DELETE,/xiom-classic-extreme-s.html,/products/xiom-classic-extreme-s
DELETE,/xiom-classic-offensive-s.html,/products/xiom-classic-offensive-s
DELETE,/tibhar-smash-28-sc-w.html,/products/tibhar-smash-28-sc-w
DELETE,/tibhar-smash-28-sc.html,/products/tibhar-smash-28-sc-w
DELETE,/tibhar-smash-28-r.html,/products/tibhar-smash-28-r
DELETE,/tibhar-smash-28.html,/products/tibhar-smash-28
DELETE,/tibhar-net-clip.html,/products/tibhar-net-clip
DELETE,/tibhar-net-smash.html,/products/tibhar-net-smash
DELETE,/dsports-tracksuit-rio-red.html,/products/dsports-tracksuit-rio-red
DELETE,/dsports-tracksuit-rio-blue.html,/products/dsports-tracksuit-rio-blue
DELETE,/dsports-tracksuit-rio-blue-4964.html,/products/dsports-tracksuit-rio-blue
DELETE,/dsports-tracksuit-rio-black.html,/products/dsports-tracksuit-rio-black
DELETE,/dsports-shirt-evolution-black-yellow-white.html,/products/dsports-shirt-evolution-black-yellow-white
DELETE,/dsports-shirt-evolution-red-black-white.html,/products/dsports-shirt-evolution-red-black-white
DELETE,/dsports-shirt-evolution-red-black-white-5006.html,/products/dsports-shirt-evolution-red-black-white
DELETE,/dsports-shirt-evolution-navy-blue-white.html,/products/dsports-shirt-evolution-navy-blue-white
DELETE,/dsports-shirt-evolution-navy-blue-white-5007.html,/products/dsports-shirt-evolution-navy-blue-white
DELETE,/dsports-shirt-evolution-grey-lime-white.html,/products/dsports-shirt-evolution-grey-lime-white
DELETE,/dsports-shirt-evolution-grey-lime-white-5008.html,/products/dsports-shirt-evolution-grey-lime-white
DELETE,/dsports-shirt-evolution-lime-grey-white.html,/products/dsports-shirt-evolution-lime-grey-white
DELETE,/dsports-tracksuit-performance-navy.html,/products/dsports-tracksuit-performance-navy
DELETE,/dsports-tracksuit-performance-grey.html,/products/dsports-tracksuit-performance-grey
DELETE,/dsports-tracksuit-performance-grey-5060.html,/products/dsports-tracksuit-performance-grey
DELETE,/dsports-tracksuit-performance-red.html,/products/dsports-tracksuit-performance-red
DELETE,/dsports-tracksuit-performance-red-5061.html,/products/dsports-tracksuit-performance-red
DELETE,/dsports-tracksuit-performance-black.html,/products/dsports-tracksuit-performance-black
DELETE,/dsports-shirt-rio-red.html,/products/dsports-shirt-rio-red
DELETE,/dsports-shirt-rio-red-5089.html,/products/dsports-shirt-rio-red
DELETE,/dsports-shirt-rio-blue.html,/products/dsports-shirt-rio-blue
DELETE,/dsports-shirt-rio-black.html,/products/dsports-shirt-rio-black
DELETE,/dsports-shirt-quito-red.html,/products/dsports-shirt-quito-red
DELETE,/dsports-shirt-quito-black.html,/products/dsports-shirt-quito-black
DELETE,/dsports-shirt-quito-black-5137.html,/products/dsports-shirt-quito-black
DELETE,/dsports-shirt-quito-blue.html,/products/dsports-shirt-quito-blue
DELETE,/dsports-shirt-quito-blue-5138.html,/products/dsports-shirt-quito-blue
DELETE,/dsports-shirt-quito-green.html,/products/dsports-shirt-quito-green
DELETE,/dsports-shirt-quito-green-5139.html,/products/dsports-shirt-quito-green
DELETE,/dsports-shirt-quito-yellow.html,/products/dsports-shirt-quito-yellow
DELETE,/dsports-t-shirt-rio-black.html,/products/dsports-t-shirt-rio-black
DELETE,/dsports-sweatshirt-rio-red.html,/products/dsports-sweatshirt-rio-red
DELETE,/dsports-sweatshirt-rio-blue.html,/products/dsports-sweatshirt-rio-blue
DELETE,/dsports-sweatshirt-rio-blue-5186.html,/products/dsports-sweatshirt-rio-blue
DELETE,/dsports-sweatshirt-rio-black.html,/products/dsports-sweatshirt-rio-black
DELETE,/dsports-shorts-performance-black.html,/products/dsports-shorts-performance-black
DELETE,/dsports-shorts-performance-navy.html,/products/dsports-shorts-performance-navy
DELETE,/dsports-shorts-performance-navy-5232.html,/products/dsports-shorts-performance-navy
DELETE,/dsports-shorts-performance-grey.html,/products/dsports-shorts-performance-grey
DELETE,/dsports-skirt-performance-black.html,/products/dsports-skirt-performance-black
DELETE,/dsports-skirt-performance-navy.html,/products/dsports-skirt-performance-navy
DELETE,/dsports-skirt-performance-navy-5253.html,/products/dsports-skirt-performance-navy
DELETE,/dsports-skirt-performance-grey.html,/products/dsports-skirt-performance-grey
DELETE,/xiom-classic-allround-s.html,/products/xiom-classic-allround-s
DELETE,/xiom-omega-v-pro.html,/products/xiom-omega-v-pro
DELETE,/xiom-omega-v-asia.html,/products/xiom-omega-v-asia
DELETE,/xiom-omega-iv-elite.html,/products/xiom-omega-iv-elite
