group_id,club_name,brand,discount_pct,magento_rule,rule_id,nb_clients,catalog_effective_pct,catalog_name
49,CTT Perwez,Butterfly,15.0,Remises club 15% - Butterfly,4049,202,15.0,Butterfly — Club 15%
49,CTT Perwez,Dandoy,15.0,Remises club 15% - Dandoy,3983,202,15.0,Dandoy — Club 15%
50,CAJ-MIR Saint-Ghislain,Butterfly,15.0,Remises club 15% - Butterfly,4049,23,15.0,Butterfly — Club 15%
50,CAJ-MIR Saint-Ghislain,Dandoy,15.0,Remises club 15% - Dandoy,3983,23,15.0,Dandoy — Club 15%
51,KTTC Metor Bree,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
51,KTTC Metor Bree,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
52,TT BARR,Butterfly,15.0,Remises club 15% - Butterfly,4049,23,15.0,Butterfly — Club 15%
52,TT BARR,Dandoy,20.0,Remises club 20% - Dandoy,4048,23,20.0,Dandoy — Club 20%
53,UTL Rossfeld,Butterfly,15.0,Remises club 15% - Butterfly,4049,150,15.0,Butterfly — Club 15%
53,UTL Rossfeld,Dandoy,20.0,Remises club 20% - Dandoy,4048,150,20.0,Dandoy — Club 20%
54,CTT ALPA,Butterfly,15.0,Remises club 15% - Butterfly,4049,262,15.0,Butterfly — Club 15%
54,CTT ALPA,Dandoy,15.0,Remises club 15% - Dandoy,3983,262,15.0,Dandoy — Club 15%
55,Amicale Lunévilloise TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,45,15.0,Butterfly — Club 15%
55,Amicale Lunévilloise TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,45,20.0,Dandoy — Club 20%
56,PPC MONTCY,Butterfly,15.0,Remises club 15% - Butterfly,4049,114,15.0,Butterfly — Club 15%
56,PPC MONTCY,Dandoy,20.0,Remises club 20% - Dandoy,4048,114,20.0,Dandoy — Club 20%
57,CORCY TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,22,20.0,Dandoy — Club 20%
58,TT HUNINGUE,Butterfly,15.0,Remises club 15% - Butterfly,4049,66,15.0,Butterfly — Club 15%
58,TT HUNINGUE,Dandoy,20.0,Remises club 20% - Dandoy,4048,66,20.0,Dandoy — Club 20%
59,ASTT GLAIRE,Butterfly,15.0,Remises club 15% - Butterfly,4049,42,15.0,Butterfly — Club 15%
59,ASTT GLAIRE,Dandoy,20.0,Remises club 20% - Dandoy,4048,42,20.0,Dandoy — Club 20%
60,CTT Nouzonville,Butterfly,15.0,Remises club 15% - Butterfly,4049,3,15.0,Butterfly — Club 15%
60,CTT Nouzonville,Dandoy,20.0,Remises club 20% - Dandoy,4048,3,20.0,Dandoy — Club 20%
61,David Levalois,Butterfly,15.0,Remises club 15% - Butterfly,4049,1,15.0,Butterfly — Club 15%
62,MOREZ TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,1,20.0,Dandoy — Club 20%
62,MOREZ TT,STIGA (addition),6.25,Remise club 5% addition STIGA,5331,1,6.25,"Dandoy — STIGA addition (cas particulier, hors catalog standard)"
63,CERCLE ST MAURICE ORSCHWILLER,Butterfly,15.0,Remises club 15% - Butterfly,4049,32,15.0,Butterfly — Club 15%
63,CERCLE ST MAURICE ORSCHWILLER,Dandoy,20.0,Remises club 20% - Dandoy,4048,32,20.0,Dandoy — Club 20%
64,BTTV Elaan,Butterfly,15.0,Remises club 15% - Butterfly,4049,4,15.0,Butterfly — Club 15%
64,BTTV Elaan,Dandoy,15.0,Remises club 15% - Dandoy,3983,4,15.0,Dandoy — Club 15%
65,TTV Cevelum,Butterfly,15.0,Remises club 15% - Butterfly,4049,8,15.0,Butterfly — Club 15%
65,TTV Cevelum,Dandoy,15.0,Remises club 15% - Dandoy,3983,8,15.0,Dandoy — Club 15%
66,TTV DOV,Butterfly,15.0,Remises club 15% - Butterfly,4049,16,15.0,Butterfly — Club 15%
66,TTV DOV,Dandoy,15.0,Remises club 15% - Dandoy,3983,16,15.0,Dandoy — Club 15%
67,TTV Red Stars,Butterfly,15.0,Remises club 15% - Butterfly,4049,1,15.0,Butterfly — Club 15%
68,TT Colmar,Butterfly,15.0,Remises club 15% - Butterfly,4049,3,15.0,Butterfly — Club 15%
68,TT Colmar,Dandoy,20.0,Remises club 20% - Dandoy,4048,3,20.0,Dandoy — Club 20%
69,TT Landrecien,Butterfly,15.0,Remises club 15% - Butterfly,4049,10,15.0,Butterfly — Club 15%
69,TT Landrecien,Dandoy,20.0,Remises club 20% - Dandoy,4048,10,20.0,Dandoy — Club 20%
70,UTTC,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
70,UTTC,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
71,Royale Palette Hellebecquoise,Butterfly,15.0,Remises club 15% - Butterfly,4049,72,15.0,Butterfly — Club 15%
71,Royale Palette Hellebecquoise,Dandoy,15.0,Remises club 15% - Dandoy,3983,72,15.0,Dandoy — Club 15%
72,Royal Andenne TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,66,15.0,Butterfly — Club 15%
72,Royal Andenne TT,Dandoy,15.0,Remises club 15% - Dandoy,3983,66,15.0,Dandoy — Club 15%
73,Smash'23,Butterfly,10.0,Remises club 10% - Butterfly,4226,4,10.0,Butterfly — Club 10%
73,Smash'23,Dandoy,15.0,Remises club 15% - Dandoy,3983,4,15.0,Dandoy — Club 15%
74,VTV Nieuwegein,Butterfly,10.0,Remises club 10% - Butterfly,4226,4,10.0,Butterfly — Club 10%
74,VTV Nieuwegein,Dandoy,15.0,Remises club 15% - Dandoy,3983,4,15.0,Dandoy — Club 15%
75,VDO,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
75,VDO,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
76,DTS Enschede,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
76,DTS Enschede,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
77,TTV SVE,Butterfly,10.0,Remises club 10% - Butterfly,4226,2,10.0,Butterfly — Club 10%
77,TTV SVE,Dandoy,20.0,Remises club 20% - Dandoy,4048,2,20.0,Dandoy — Club 20%
78,ATC Almere,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
78,ATC Almere,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
79,CTT CHAMP D'EN HAUT,Butterfly,15.0,Remises club 15% - Butterfly,4049,1,15.0,Butterfly — Club 15%
79,CTT CHAMP D'EN HAUT,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
80,TTV Reflex Maarn,Butterfly,10.0,Remises club 10% - Butterfly,4226,8,10.0,Butterfly — Club 10%
80,TTV Reflex Maarn,Dandoy,15.0,Remises club 15% - Dandoy,3983,8,15.0,Dandoy — Club 15%
81,ZTTC,Butterfly,10.0,Remises club 10% - Butterfly,4226,2,10.0,Butterfly — Club 10%
81,ZTTC,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
82,CTT FRAMERIES,Butterfly,15.0,Remises club 15% - Butterfly,4049,103,15.0,Butterfly — Club 15%
82,CTT FRAMERIES,Dandoy,15.0,Remises club 15% - Dandoy,3983,103,15.0,Dandoy — Club 15%
83,Preures Longfosse TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,54,15.0,Butterfly — Club 15%
83,Preures Longfosse TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,54,20.0,Dandoy — Club 20%
84,Trainer,Dandoy,20.0,Remises club 20% - Dandoy,4048,0,20.0,Dandoy — Club 20%
85,TTC And Leie,Butterfly,15.0,Remises club 15% - Butterfly,4049,8,15.0,Butterfly — Club 15%
85,TTC And Leie,Dandoy,15.0,Remises club 15% - Dandoy,3983,8,15.0,Dandoy — Club 15%
86,TTV EDE,Butterfly,10.0,Remises club 10% - Butterfly,4226,6,10.0,Butterfly — Club 10%
86,TTV EDE,Dandoy,15.0,Remises club 15% - Dandoy,3983,6,15.0,Dandoy — Club 15%
87,TTV Shot Soest,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
87,TTV Shot Soest,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
88,DIEPPE UC TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,58,24.9,Butterfly — Club Premium
88,DIEPPE UC TT,Butterfly,7.0,Remises club 7% - Butterfly,7970,58,24.9,Butterfly — Club Premium
88,DIEPPE UC TT,Butterfly,5.0,Remises club 5% - Butterfly,7969,58,24.9,Butterfly — Club Premium
88,DIEPPE UC TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,58,20.0,Dandoy — Club 20%
89,AL Gondecourt TT (ALGTT),Butterfly,15.0,Remises club 15% - Butterfly,4049,2,24.9,Butterfly — Club Premium
89,AL Gondecourt TT (ALGTT),Butterfly,7.0,Remises club 7% - Butterfly,7970,2,24.9,Butterfly — Club Premium
89,AL Gondecourt TT (ALGTT),Butterfly,5.0,Remises club 5% - Butterfly,7969,2,24.9,Butterfly — Club Premium
89,AL Gondecourt TT (ALGTT),Dandoy,20.0,Remises club 20% - Dandoy,4048,2,20.0,Dandoy — Club 20%
90,TTV Papendrecht,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
90,TTV Papendrecht,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
91,TTV Swift Deventer,Butterfly,10.0,Remises club 10% - Butterfly,4226,2,10.0,Butterfly — Club 10%
91,TTV Swift Deventer,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
92,TTV Amstelveen,Butterfly,10.0,Remises club 10% - Butterfly,4226,1,10.0,Butterfly — Club 10%
92,TTV Amstelveen,Dandoy,15.0,Remises club 15% - Dandoy,3983,1,15.0,Dandoy — Club 15%
93,TOULON LA SEYNE TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,0,24.9,Butterfly — Club Premium
93,TOULON LA SEYNE TT,Butterfly,7.0,Remises club 7% - Butterfly,7970,0,24.9,Butterfly — Club Premium
93,TOULON LA SEYNE TT,Butterfly,5.0,Remises club 5% - Butterfly,7969,0,24.9,Butterfly — Club Premium
93,TOULON LA SEYNE TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,0,20.0,Dandoy — Club 20%
94,TT Venizel,Dandoy,20.0,Remises club 20% - Dandoy,4048,0,20.0,Dandoy — Club 20%
95,SC Morée TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,0,24.9,Butterfly — Club Premium
95,SC Morée TT,Butterfly,7.0,Remises club 7% - Butterfly,7970,0,24.9,Butterfly — Club Premium
95,SC Morée TT,Butterfly,5.0,Remises club 5% - Butterfly,7969,0,24.9,Butterfly — Club Premium
95,SC Morée TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,0,20.0,Dandoy — Club 20%
96,DT Houwald,Dandoy,15.0,Remises club 15% - Dandoy,3983,0,15.0,Dandoy — Club 15%
